change_type,path,baseline_sha256,current_sha256,baseline_size_bytes,current_size_bytes,baseline_mode,current_mode
modified,Makefile,c80696806fa29c959f34d642ac3d0ddd02e8450c63c78c3b1f1a59c247333929,b14907042bd0e1ca323ed74c4b71212cd483c4803077af83ca0f88dbd11ee4b3,14379,15026,0o644,0o644
added,governance/convergence/post-refactor-226-adoption-ledger.csv,n/a,d411dc27a8aa1aa34b88c78ee9657726b13e64346d280af5ff7adeaa22c56c5e,n/a,1122787,n/a,0o644
added,governance/convergence/post-refactor-226-all-history-module-audit.csv,n/a,1739eb616f816e8709159aa9f387ff033bf87bf3bae52602433c78f1a56045e3,n/a,65456,n/a,0o644
added,governance/convergence/post-refactor-226-all-history-second-order-audit.md,n/a,751cd2dee305181a2d9b230ce3a5a4433254d371bc545a17ad00c389e7cc6b8c,n/a,3224,n/a,0o644
added,governance/convergence/post-refactor-226-all-history-summary.json,n/a,e4176b3b577a912f2a5001acc4228167165762f54ff9fffa2d1908f9edf4fc42,n/a,431,n/a,0o644
added,governance/convergence/post-refactor-226-all-history-surface-audit.csv,n/a,469780c7736fba6da1f8180436fe6a51c81178c4f4d83bd796c57bd5d5df2cfa,n/a,1227285,n/a,0o644
added,governance/convergence/post-refactor-226-all-history-symbol-index.csv,n/a,86d456e8fb47b875bb200383294a19450b349a06887f14ca4693635444b0b1b4,n/a,4759741,n/a,0o644
added,governance/convergence/post-refactor-226-architecture.md,n/a,3f94e296412da26b416108d78c1b62f127f00e8dae775c2a359c0c6eea0bf934,n/a,4431,n/a,0o644
added,governance/convergence/post-refactor-226-archive-accountability.csv,n/a,acd2d0919c1b1c9e3fe46b4650bf75f3314c0425cf4f1a3bfe665d72a975ab2d,n/a,2367,n/a,0o644
added,governance/convergence/post-refactor-226-baseline-files.csv,n/a,dd08f06593a896d26678da2d30b264000b9ba89fb60246aaf091095127ed7860,n/a,389668,n/a,0o644
added,governance/convergence/post-refactor-226-directories.csv,n/a,00f0e7063f3d309d01d949be9608052a0bb4152e5a80e1cb5a3fc25d859dd4d3,n/a,26650,n/a,0o644
added,governance/convergence/post-refactor-226-evidence-summary.json,n/a,a191e0c18d0cfa2aa6c29ec7fe02a5631d1ec10eca367bdeb3b100e7948c355b,n/a,385,n/a,0o644
added,governance/convergence/post-refactor-226-omission-audit.md,n/a,f6c57f27647abea1adf3e0842dad5c351956b2f419dbce6cde52b8845ebf994c,n/a,4102,n/a,0o644
added,governance/convergence/post-refactor-226-operator-runbook.md,n/a,14131d521c72d3dced0bbabf3e0d8689b59e72133e99b7f34e2f809926e1c01a,n/a,3435,n/a,0o644
added,governance/convergence/post-refactor-226-peer-synthesis.md,n/a,88e9b3e3f1a165a968c55b806c6eb4ccd4519a54c774aefb8f07718263cba5c4,n/a,3739,n/a,0o644
added,governance/convergence/post-refactor-226-security-model.md,n/a,48a7fe1f2be1e8e7b5ce4f27154078b66bc199a872f1d30da51e399c0143ada2,n/a,3677,n/a,0o644
added,governance/convergence/post-refactor-226-state-machines.md,n/a,c890aa3a03190131a144e0cd618af86996e0e656b0628882518e87bbd7356c7f,n/a,3303,n/a,0o644
added,governance/convergence/post-refactor-226-supersession-map.csv,n/a,2fdd8c19b34b48c4d5e64c7b85998f017f74e7fef69546710cef96ba870627b6,n/a,14243,n/a,0o644
added,governance/convergence/post-refactor-226-surface-accountability.csv,n/a,7c2fe1aecd04f5a7fe0245c582bb333fe6cbdc25cd14c8eb0f20605a52401733,n/a,368146,n/a,0o644
added,governance/convergence/post-refactor-226-symbols.csv,n/a,4e01715484c84f5b630190e8578368060c2da19a1842a9a66743dd39a9376485,n/a,3448183,n/a,0o644
added,governance/convergence/post-refactor-226-validation.md,n/a,76cd0fcca04b4304c8a382bccf3ac7544d2fa3af29b9a263b299d1b61f0bb893,n/a,5003,n/a,0o644
modified,governance/topology/relocations.json,ec3f75b07356cf94815689b4f542fe3a0f95bf7a1f3e0d023024b6a9765c3742,6ec8b3a014852187d1e597b39ac9f212a58dfc330b4d1c03281c19fe7934913d,384998,387016,0o644,0o644
modified,scripts/checks/check_peer_convergence.py,d6aecc624e1b42daa22283d33ad4260293b38e2563b4d303a658745ee3a15b1d,f8f6272ff86bf67f63f56d33520b9825658265e955478fcc2ef0f3ac241046db,18908,20800,0o644,0o644
modified,scripts/checks/check_post_refactor_225_convergence.py,226d72b0dfc2cac26609aa5b16867186b9130ec1f992891da4070f20592d9e21,33c7bdabafdd3599afa3ce72688fbf04a7aa1c1757d852dacbd11facdfefe4db,15053,16327,0o755,0o755
added,scripts/checks/check_post_refactor_226_convergence.py,n/a,371d7d87136d278306bd9055c91ef60f9e61d7f13deae8c596efd4fca2060a36,n/a,14063,n/a,0o755
modified,scripts/checks/check_third_wave_runtime.py,568bd0af0aa5cdcd6cf6e976399fea7901885a7b53b7655a5645c533f84d5098,2d617b6f9bd602660fa7b18e0f7bc83788054c87467fd5a983ba161d6ff4141c,6884,8291,0o644,0o644
added,scripts/generate/generate_post_refactor_226_all_history_audit.py,n/a,2dfc1ba6a6d9499fad016823f8e71d2b041f9458aee9ae30b5a4d51593ca0500,n/a,8361,n/a,0o755
added,scripts/generate/generate_post_refactor_226_delta.py,n/a,39de5acc62669338cbacb7df3b56f1eba99d613b3ddcb2b3e4cb5632ee944dba,n/a,1938,n/a,0o755
added,scripts/generate/generate_post_refactor_226_evidence.py,n/a,09c19d88e8ecb4ea07ec2f1ee005c654428f74f8a7b882ac0eb72e72a54dfee0,n/a,37341,n/a,0o755
modified,src/apps/daemon/internal/adapters/api/.context,9661ab894f974a12ba3838533f86674382838fe0a4ec72b3a5d9c4e15915d1fa,519bb35ac8441415194f98c7a10c30045434cb3f84c3b2e5e345d989be084c19,2952,2952,0o644,0o644
added,src/apps/daemon/internal/adapters/api/handlers_post_refactor_226_planners.go,n/a,f0df4de4d4af6faba26015cd8fce446a19d1b0516373a50d7ddb33ce19523fb5,n/a,3358,n/a,0o644
modified,src/apps/daemon/internal/adapters/api/routes_system.go,4404db638d6645e805a840b35ee34edc92c3f979860ef8dcd802640604c484fe,ef80fc2dfa2c60b424009b9d2d30b206e4a7af5c25781db97e6cb5254a26de50,8956,9329,0o644,0o644
