change_type,path,baseline_sha256,current_sha256,baseline_size_bytes,current_size_bytes,baseline_mode,current_mode
modified,Makefile,817a1586ca709a230cf7e961f0c6da3083f7b2c820214d4e8760fc5edd5d3e8f,1f9061b7d82cc91b076feaa94dd635269aec17e0037ce9491ef9261cae201a23,16342,16954,0o644,0o644
added,governance/convergence/post-refactor-229-adoption-ledger.csv,n/a,bdc0c877a200eecbb65f4cb5de5a9ab7eae37874a106a9b62c35620c4094c5a1,n/a,6774403,n/a,0o644
added,governance/convergence/post-refactor-229-all-history-module-audit.csv,n/a,b274c1d475dda7e7834d9827aff513e523bdb91679ee03f344404734d2f13b95,n/a,116518,n/a,0o644
added,governance/convergence/post-refactor-229-all-history-second-order-audit.md,n/a,4ae1e58bf5aef00df5a93b98c5a6ff415de8a8364ca1821be5862fe0a2ff3df4,n/a,734,n/a,0o644
added,governance/convergence/post-refactor-229-all-history-summary.json,n/a,102ed081f499942f7a440138fc8347b60a9ee92ac8d61a618208a4008a0b13ad,n/a,738,n/a,0o644
added,governance/convergence/post-refactor-229-all-history-surface-audit.csv,n/a,90354cd7d01d9319ef1d52a98a9dc91a15cb52e4adb58b325ff9118e5250cf9e,n/a,4449585,n/a,0o644
added,governance/convergence/post-refactor-229-all-history-symbol-index.csv,n/a,543756216a9cc13f84d8440467d914daf167dc24e212a1eb7de9cd68fb3c0d95,n/a,10724408,n/a,0o644
added,governance/convergence/post-refactor-229-architecture.md,n/a,fd2b274c395330d876c4b6aad84720ac7ced20769add299a2ba951ac00f6f6fc,n/a,1689,n/a,0o644
added,governance/convergence/post-refactor-229-archive-accountability.csv,n/a,5130ef6bbbe0ccc752588c5f2dd9ad625fdf04ac655db2a673ac30bfbf798df0,n/a,1009,n/a,0o644
added,governance/convergence/post-refactor-229-baseline-files.csv,n/a,4cf881c8764d47cfbd7cbfa816f424fee889878b75f11a6109d29ed807ff1dbd,n/a,402390,n/a,0o644
added,governance/convergence/post-refactor-229-directories.csv,n/a,1442b4496571891bdda28593a2388e8997e3af036e0e4a028d68e187bb7e3a9e,n/a,399178,n/a,0o644
added,governance/convergence/post-refactor-229-evidence-summary.json,n/a,b5a70ba463827720ddd5ce5b626ba23bd79e5ff6b5d8cc82214c56eaa10be487,n/a,1092,n/a,0o644
added,governance/convergence/post-refactor-229-module-audit.csv,n/a,f87b54745eb697c2af330d5f543bd3c12678ac4841555a935df74917491b46ba,n/a,44350,n/a,0o644
added,governance/convergence/post-refactor-229-nested-archive-admission.json,n/a,b6baf6a573190a986339612cc89601581443034116ee436b1bf231e0bef58dc6,n/a,326,n/a,0o644
added,governance/convergence/post-refactor-229-nested-archive-members.csv,n/a,b100d9e9bf51475f2a88c87426417cd674a102deebb1bb6b2b58b2348af6ba9e,n/a,397470,n/a,0o644
added,governance/convergence/post-refactor-229-nested-mitm-directories.csv,n/a,d8f69a3a519dd279824e1759e36c60264e36aa27c792295a68daed0337421401,n/a,207782,n/a,0o644
added,governance/convergence/post-refactor-229-nested-mitm-surfaces.csv,n/a,51ed106e8e1d38dfefcdba2f5ec6c22fd92e5781f7a6a1ef6aece7f0071cac18,n/a,413788,n/a,0o644
added,governance/convergence/post-refactor-229-nested-mitm-symbols.csv,n/a,bd0fab56ca10ea62e901dfe4b8de865d72c84de9c29bd676673728272250212e,n/a,42212,n/a,0o644
added,governance/convergence/post-refactor-229-omission-audit.md,n/a,bb3ac4188a81ab6e98f6ec6d041eda28a7bae67a017898d9c645279da3a633c4,n/a,910,n/a,0o644
added,governance/convergence/post-refactor-229-operator-runbook.md,n/a,f8f54539e72c7582183c7a02ecaf97118d74c3a57330d073aa1bb90cf335ab12,n/a,1318,n/a,0o644
added,governance/convergence/post-refactor-229-peer-synthesis.md,n/a,839a605d34fd0d0750d54be6ac9a215c7d3f3cfb81aeb00afd6a08787a4c4e46,n/a,1105,n/a,0o644
added,governance/convergence/post-refactor-229-security-model.md,n/a,32a4b839b0fa4a0fdb5b5d6368b894e9beb55cf42cca937b0825b88009bdc9f7,n/a,1842,n/a,0o644
added,governance/convergence/post-refactor-229-state-machines.md,n/a,1417976aa67fd3931c48e07313089a826dc0d4de9629446ff801ad7481e4b7aa,n/a,1187,n/a,0o644
added,governance/convergence/post-refactor-229-supersession-map.csv,n/a,bd42bfa59422753fcf0d1d10a55e70d7cd4ffe2ef8aef35db026d3b390532edc,n/a,32076,n/a,0o644
added,governance/convergence/post-refactor-229-surface-accountability.csv,n/a,bd4289b7804c1b233aa3ea3f67c5508d67c2e696b979e6ad0d5d28d7011ab8f6,n/a,2739892,n/a,0o644
added,governance/convergence/post-refactor-229-symbols.csv,n/a,a6755c781aad123b7088ea4eec1a616ea9dcb1e591b2d99e9047e3aaf9fe9614,n/a,8608172,n/a,0o644
