path,change_type,accountability_class,semantic_record_ids,reason,verification_node,baseline_sha256,current_sha256
Makefile,modified,peer-governance,SEM087,Run peer convergence as a repository invariant,scripts/checks/check_peer_convergence.py#main,e15febe17b461e2e8985571699f98d25a2b0ab5d13c8ac65f72215358a61f732,1df0b520b2eaef548ad3a74b1d0dc1962bef4aec7ba375e0cd8ac183814b4ca3
docs/audit/current-inventory/files.csv,modified,generated-inventory,n/a,Regenerated deterministic current-tree inventory after convergence changes,scripts/generate/repo_inventory.py#main,29936a75a0410a138d6342dc52324eabb6b7a845f6806134ff8e4d4fb32f0876,n/a
docs/audit/current-inventory/summary.json,modified,generated-inventory,n/a,Regenerated deterministic current-tree inventory after convergence changes,scripts/generate/repo_inventory.py#main,148ec9796048b943808ad1b1cb09230d64819456c5abdf9f8f9a559b027c75f7,n/a
governance/convergence/README.md,modified,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,4af9b664248efeece919982ef181531eb98800ba145a75066860ed62da70a038,4b0406a3e3900e2629938aa35c50591ef95337f70816da41c19a955fa1420a93
governance/convergence/peer-adoption-ledger.csv,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,4f8d6965ef1ec61f3dda3d8cbce03acee6ae57993be15245e91c486b5a67af3f
governance/convergence/peer-corpora.csv,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,6ae9e10d8e7fd5fd2d84e1426ad86d28bd5726aaa82bbaf5453bbba179fbecb3
governance/convergence/peer-directories.csv,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,82e57f5b65a9a0439f7263cfb62877b46c36d179d19e56fcf622877ab4594af8
governance/convergence/peer-donors.csv,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,550e1ec511ee9cbe3c4d691861cc2a268fca1f55367e1ec5d98c7978419d15af
governance/convergence/peer-modules.csv,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,e008fe866c9499632490f4ad2b2ac7c9d199d693140f2465dbbd8ceb9c1c6d59
governance/convergence/peer-reference-reversal.csv,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,2a563a205512c7898efa8a6e50118cdbb892b0f0e71f452f6b468763dda01823
governance/convergence/peer-surfaces.csv,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,c892aec9a91813172702b1f8b00db7cb2d0fd098234a680a2b6786ea85722f53
governance/convergence/peer-symbols.csv,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,02eb4250b28b68c587d9c812b0e09954ed4f5cb8e731f60ee320ab266f7a332f
governance/convergence/peer-target-repairs.csv,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,948459b0f25879c79277c15746cbeceb10d1ded890d733486a193309848badc7
governance/convergence/peer-validation.md,added,peer-governance,SEM087,Durable donor/file/directory/module/symbol/semantic/accountability evidence,scripts/checks/check_peer_convergence.py#main,n/a,cca3ef7b95d67da077ee8dde408fd1f6c2518d7ac8d7e51570a065a705539cf7
