change_type,path,baseline_sha256,current_sha256,baseline_size_bytes,current_size_bytes,baseline_mode,current_mode
modified,Makefile,b14907042bd0e1ca323ed74c4b71212cd483c4803077af83ca0f88dbd11ee4b3,2254e6c7cb10d0bbfd73b0c434df4ac3ec5ec028d1bef28b561c8b2715470726,15026,15646,0o644,0o644
added,governance/convergence/post-refactor-227-adoption-ledger.csv,n/a,64f7c4758fc457273ccdbfd6adadb94383f7bb58f5742bfd54e626d178358d06,n/a,65682,n/a,0o644
added,governance/convergence/post-refactor-227-all-history-module-audit.csv,n/a,e7e8b296eddf0168b70d6ebb086882df44409fb550795dc6c940371c8e18c0d1,n/a,68035,n/a,0o644
added,governance/convergence/post-refactor-227-all-history-second-order-audit.md,n/a,f1411b91910f3f5ef88a2bbb26db8c8b9d0619df16b0aa1b1334b7f5bef48740,n/a,1506,n/a,0o644
added,governance/convergence/post-refactor-227-all-history-summary.json,n/a,12996bbd112b0d2e62e395c1abb93cbfd281c7475a2822bd0d44d03c7f079cdf,n/a,515,n/a,0o644
added,governance/convergence/post-refactor-227-all-history-surface-audit.csv,n/a,4b34c19c5fc2e665a0b088f0d7d3ae11db5dd92a33cac9da7e6d1f3a85750c30,n/a,1241939,n/a,0o644
added,governance/convergence/post-refactor-227-all-history-symbol-index.csv,n/a,00e25e3720c365e30564c4def83b5737eaebffddf3c7d361e68639e7b1feeb5a,n/a,4814398,n/a,0o644
added,governance/convergence/post-refactor-227-architecture.md,n/a,2d23879cb3862d36dff906e789491b0adc157ca1e5815119f279eb9587cefcf2,n/a,2154,n/a,0o644
added,governance/convergence/post-refactor-227-archive-accountability.csv,n/a,6564c29d94002e9d96e58ab34d06962d66deaf1a2454e89e4f024ccb8e15c814,n/a,276,n/a,0o644
added,governance/convergence/post-refactor-227-baseline-files.csv,n/a,43dd416f1ab6d72deb56b5b11aa5076bbe0b3e72ba2afc5a6b5ee61d73b8a833,n/a,390667,n/a,0o644
added,governance/convergence/post-refactor-227-directories.csv,n/a,c1bb7bb60e75878738ae49bf122320f8f633bbfbb34e4892722882420fd43cc2,n/a,988,n/a,0o644
added,governance/convergence/post-refactor-227-evidence-summary.json,n/a,8da1bdc126cd550e1935433d01a4a865801fc5fd9283face2c95484ba67855a5,n/a,369,n/a,0o644
added,governance/convergence/post-refactor-227-omission-audit.md,n/a,bb3c7ec2a48aa53b6e32f4928be65fda1e4e64cb4ec3e1ac8c825a69d2f376da,n/a,2218,n/a,0o644
added,governance/convergence/post-refactor-227-operator-runbook.md,n/a,94eb20047f16aecc156abc6a9521d6f45fcf75f26e6864d2a87f789dda56312b,n/a,1450,n/a,0o644
added,governance/convergence/post-refactor-227-peer-synthesis.md,n/a,4cdcaf5634a405128d137f7837f7bdc62cf5bf7c29b788564149bfd7ea622362,n/a,1733,n/a,0o644
added,governance/convergence/post-refactor-227-security-model.md,n/a,f631b3cc1dcf584fef231568763ca44f308e42ce012bf3018e97f5a079b91e3d,n/a,1714,n/a,0o644
